javascript,38
php,37
css,34
html,33
java,31
sql,26
api,21
banco de dados,19
mysql,17
laravel,15
linux,13
git,13
testes unitarios,12
react,10
rest,10
python,9
mvc,8
angular,8
sql server,7
bootstrap,6
c#,6
scrum,5
vue,4
agile,3
postgres,3
github,2
svn,2
react native,1
ruby on rails,1
ruby,1
django,1
foundation,0
